carbNorm_Comparisons	ID	lower_4	upper_4	carbNorm_4	lower_15	upper_15	carbNorm_15	lower_20	upper_20	carbNorm_20	four_fifteen	four_twenty	fifteen_twenty
carbNorm_Comparisons	PPTGSe	0.000614	0.000614	0.000614	0.001412	0.001412	0.001412	0.000516	0.000516	0.000516	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPTT	1.1e-05	1.1e-05	1.1e-05	2.6e-05	2.6e-05	2.6e-05	9e-06	9e-06	9e-06	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRAGS	0.003342	0.003342	0.003342	0.007683	0.007683	0.007683	0.002806	0.002806	0.002806	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRAIS	0.003342	0.003342	0.003342	0.007683	0.007683	0.007683	0.002806	0.002806	0.002806	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRAIi	0.001095	0.001095	0.001095	0.002516	0.002516	0.002516	0.000919	0.000919	0.000919	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRAMPC	0.001959	0.001959	0.001959	0.004502	0.004502	0.004502	0.001644	0.001644	0.001644	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRASCS	0.003337	0.003337	0.003337	0.00767	0.00767	0.00767	0.002801	0.002801	0.002801	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRATPP	0.001959	0.001959	0.001959	0.004502	0.004502	0.004502	0.001644	0.001644	0.001644	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRFGS	0.003342	0.003342	0.003342	0.007683	0.007683	0.007683	0.002806	0.002806	0.002806	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRKIN	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PRMICIi	0.001959	0.001959	0.001959	0.004502	0.004502	0.004502	0.001644	0.001644	0.001644	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PRO1q	-0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PROTRS	0.003446	0.003446	0.003446	0.007921	0.007921	0.007921	0.002893	0.002893	0.002893	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PROT_SYNTHESIS	0.011703	0.011703	0.011703	0.026901	0.026901	0.026901	0.009824	0.009824	0.009824	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PROt4	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PRPPS	0.009589	0.009589	0.009589	0.022041	0.022041	0.022041	0.008049	0.008049	0.008049	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PSCVT	0.007629	0.007629	0.007629	0.017537	0.017537	0.017537	0.006404	0.006404	0.006404	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PSD	0.001266	0.001266	0.001266	0.002911	0.002911	0.002911	0.001063	0.001063	0.001063	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PSERT	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PSP_L	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PSSA	0.001266	0.001266	0.001266	0.002911	0.002911	0.002911	0.001063	0.001063	0.001063	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PSUDS	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PTAr	-0.18047	-0.062672	-0.062672	0.206217	0.206217	0.206217	0.203659	0.203659	0.203659	4C < 15C, diff values	4C < 20C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PTPATi	1.4e-05	1.4e-05	1.4e-05	3.1e-05	3.1e-05	3.1e-05	1.1e-05	1.1e-05	1.1e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PTRCabc	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PULLNASE	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PUNP1	-0.011338	-0.000169	-0.000169	-0.000389	-0.000389	-0.000389	-0.000142	-0.000142	-0.000142	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PUNP2	-0.0	0.011169	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PUNP3	-0.012776	-0.001608	-0.001608	-0.003695	-0.003695	-0.003695	-0.001349	-0.001349	-0.001349	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
