gene	4C Late Replicate A	4C Late Replicate B	15C Replicate A	15C Replicate B	20C Replicate A	20C Replicate B
sps_RS02045	75.35276491	74.72951194	52.00392939	62.52482752	76.29901525	3.195499809
sps_RS02050	55.89931354	23.91240756	39.11314764	32.13215294	65.68709235	7.859677596
sps_RS02055	32.71944395	20.28863293	29.62055413	28.87924843	49.67413133	9.909721025
sps_RS02060	29.89849103	27.29467375	39.3546468	27.3212538	50.0448338	38.21370676
sps_RS02065	30.69136364	17.34852307	54.40864203	41.98226225	75.11602735	59.05879675
sps_RS02070	125.7219081	108.6460767	262.7842257	304.7887429	134.2437221	67.36841175
sps_RS02075	1.261605515	4.224108782	0	0.511073488	0.62653939	0
sps_RS02080	20.64309178	20.2514169	33.33934735	43.44461665	32.93398809	24.47127771
sps_RS02085	19.64124813	15.08668067	23.80551747	26.64973473	28.81808787	8.041917771
sps_RS02090	7.207739406	6.644778826	31.07431144	24.83527927	41.20473609	8.868790953
sps_RS02095	57.58715113	52.27352266	75.06334258	88.74254332	68.08031497	46.41924613
sps_RS02100	16.5151588	7.715541031	3.6460005	3.008856785	6.303442854	1.440826478
sps_RS02105	9.417045302	4.965248974	6.437369245	5.941346527	13.02991527	5.337195101
sps_RS02110	46.8455066	29.4987572	29.90412769	22.4796978	44.0897575	26.58259961
sps_RS02115	30.18562111	19.99042235	19.53648775	21.91185708	63.0281019	24.02075181
sps_RS02120	18.95553916	7.965759203	4.534155917	4.850594526	14.00431563	6.68497066
sps_RS02125	53.01257106	32.48510679	22.38561894	26.19252743	35.96160435	25.33211395
sps_RS02130	185.7664538	86.25497369	54.65802191	46.09970153	76.08704033	25.3259968
sps_RS02135	48.46765873	41.66350756	27.41856292	23.75558616	26.49786627	19.83173678
sps_RS02140	14.62940858	12.64473952	6.894813231	8.687973931	13.91839959	5.525255911
sps_RS02145	23.61201138	18.39953143	17.92527823	14.41404729	26.03290465	12.36885142
sps_RS02150	32.82211879	19.17472552	29.51144244	23.28448104	33.01235188	18.02415022
sps_RS02155	6.091907731	7.550521538	0	1.395451732	1.755959081	0
sps_RS02160	205.3133105	277.3245054	105.355845	98.29786693	83.667356	32.01455142
sps_RS02165	11.68635306	7.867214783	4.533786925	5.546912194	12.25416476	4.366320142
sps_RS02170	256.2454866	152.7628452	115.4007061	84.58909351	58.12614771	32.43313245
sps_RS02175	21.62974344	16.5791157	12.58379605	15.34927202	36.39624277	9.523223612
sps_RS02180	31.56708021	23.96645117	40.53567325	37.87730065	55.1575424	27.04713505
sps_RS02185	27.65469093	30.22168209	29.54316033	29.53035275	34.59889745	8.724005996
sps_RS02190	119.6756138	90.33374134	97.15934173	93.07804639	111.9866307	28.65608435
sps_RS02200	767.814999	440.2557236	209.3888621	202.5403486	164.9787178	73.93222024
sps_RS02205	105.1329017	87.79961047	81.88369124	79.9500374	105.763685	37.39224868
sps_RS02210	61.24091626	54.41151367	59.70341304	59.51164474	87.21473227	103.7673805
sps_RS02215	22.08448227	14.89978837	24.94776468	17.25900461	68.9863425	8.754421414
sps_RS02220	8.121079774	4.914571095	3.30421216	4.841953099	8.722411121	1.061596679
sps_RS02225	15.85505064	10.52280922	12.17694431	12.18191271	23.69588354	12.52196101
sps_RS02235	19.33272289	13.06147124	17.87586284	12.90963423	29.04229563	3.365511008
sps_RS02240	14.92232411	11.49782861	16.02775002	12.19459733	11.64456906	11.10180729
sps_RS02245	5.537355894	6.429854746	11.11719062	5.870104845	9.632426454	5.695538716
sps_RS02250	8.047844976	7.435535444	10.432676	8.01445674	10.42600704	11.61374403
sps_RS02255	296.4245009	166.0873211	153.0012499	142.8528793	273.7944247	156.3941471
sps_RS02260	37.95052818	21.33964992	74.64405414	68.17770777	45.61048144	11.98696172
sps_RS02265	25.61730434	15.14630117	95.79253607	76.52311757	55.00423175	15.60877998
sps_RS02270	89.12650321	44.24913127	84.14977362	72.4558609	80.98423248	7.132021921
sps_RS02275	16.44058801	10.18574471	43.60356152	35.70289226	39.19248447	11.35144107
sps_RS02280	19.32058753	10.93133678	11.99904812	10.75902871	13.49523608	4.499632065
sps_RS02285	41.66093838	28.59904494	42.52792191	40.48845055	73.7502814	33.11974662
sps_RS02290	34.71531013	27.44350561	30.52523542	21.6944267	46.15843691	23.61667952
sps_RS02295	32.17159333	28.81664009	22.46517279	20.71722687	43.53106179	30.65754588
